# s_ref,X_ref,Y_ref,phi_ref,kappa_ref,right_width,left_width
105.892284,-46.725018,50.694409,-1.476751,0.055165,1.749999,1.750000
105.992277,-46.715358,50.594935,-1.471249,0.054936,1.749999,1.750000
106.092270,-46.705154,50.495523,-1.465770,0.054710,1.749999,1.750000
106.192262,-46.694407,50.396176,-1.460314,0.054487,1.749999,1.750000
106.292255,-46.683121,50.296898,-1.454881,0.054266,1.749999,1.750000
106.392248,-46.671297,50.197693,-1.449470,0.054049,1.749999,1.750000
106.492240,-46.658939,50.098562,-1.444082,0.053835,1.749999,1.750000
106.592233,-46.646050,49.999511,-1.438715,0.053624,1.749999,1.750000
106.692226,-46.632632,49.900542,-1.433370,0.053416,1.749999,1.750000
106.792219,-46.618688,49.801658,-1.428046,0.053211,1.749999,1.750000
106.892211,-46.604204,49.702745,-1.422761,0.052450,1.750000,1.749998
106.992204,-46.589201,49.603905,-1.417560,0.051606,1.750000,1.749998
107.092197,-46.573689,49.505153,-1.412443,0.050759,1.750000,1.749998
107.192189,-46.557678,49.406489,-1.407412,0.049909,1.750000,1.749998
107.292182,-46.541176,49.307911,-1.402466,0.049056,1.750000,1.749998
107.392175,-46.524192,49.209420,-1.397606,0.048202,1.750000,1.749998
107.492168,-46.506734,49.111015,-1.392831,0.047346,1.750000,1.749998
107.592160,-46.488810,49.012695,-1.388143,0.046488,1.750000,1.749998
107.692153,-46.470430,48.914459,-1.383539,0.045629,1.750000,1.749998
107.792146,-46.451602,48.816308,-1.379022,0.044769,1.750000,1.749998
107.892138,-46.432335,48.718239,-1.374591,0.043908,1.750000,1.749998
107.992131,-46.412637,48.620253,-1.370245,0.043047,1.750000,1.749998
108.092124,-46.392516,48.522349,-1.365986,0.042185,1.750000,1.749998
108.192117,-46.371983,48.424526,-1.361812,0.041323,1.750000,1.749998
108.292109,-46.351044,48.326784,-1.357725,0.040461,1.750000,1.749998
108.392102,-46.329709,48.229121,-1.353723,0.039600,1.750000,1.749998
108.492095,-46.307986,48.131539,-1.349807,0.038738,1.750000,1.749998
108.592087,-46.285884,48.034035,-1.345978,0.037877,1.750000,1.749998
108.692080,-46.263411,47.936609,-1.342233,0.037017,1.750000,1.749998
108.792073,-46.240577,47.839260,-1.338575,0.036158,1.750000,1.749998
108.892066,-46.217389,47.741989,-1.335002,0.035299,1.750000,1.749998
108.992058,-46.193856,47.644793,-1.331515,0.034441,1.750000,1.749998
109.092051,-46.169988,47.547674,-1.328114,0.033585,1.750000,1.749998
109.192044,-46.145792,47.450629,-1.324797,0.032729,1.750000,1.749998
109.292036,-46.121276,47.353658,-1.321566,0.031874,1.750000,1.749998
109.392029,-46.096451,47.256761,-1.318421,0.031021,1.750000,1.749998
109.492022,-46.071324,47.159938,-1.315360,0.030169,1.750000,1.749998
109.592015,-46.045904,47.063186,-1.312385,0.029318,1.750000,1.749998
109.692007,-46.020199,46.966507,-1.309495,0.028468,1.750000,1.749998
109.792000,-45.994218,46.869898,-1.306689,0.027620,1.750000,1.749998
109.891993,-45.967970,46.773361,-1.303968,0.026773,1.750000,1.749998
109.991985,-45.941464,46.676893,-1.301332,0.025927,1.750000,1.749998
110.091978,-45.914707,46.580494,-1.298781,0.025082,1.750000,1.749998
110.191971,-45.887709,46.484164,-1.296314,0.024238,1.750000,1.749998
110.291964,-45.860478,46.387902,-1.293931,0.023396,1.750000,1.749998
110.391956,-45.833023,46.291707,-1.291633,0.022555,1.750000,1.749998
110.491949,-45.805352,46.195579,-1.289418,0.021714,1.750000,1.749998
110.591942,-45.777474,46.099517,-1.287288,0.020875,1.750000,1.749998
110.691934,-45.749397,46.003520,-1.285242,0.020037,1.750000,1.749998
110.791927,-45.721127,45.907575,-1.283280,0.019271,1.749998,1.750001
110.891920,-45.692656,45.811632,-1.281372,0.018847,1.749998,1.750001
110.991913,-45.664006,45.715752,-1.279507,0.018424,1.749998,1.750001
111.091905,-45.635182,45.619932,-1.277685,0.018000,1.749998,1.750001
111.191898,-45.606188,45.524173,-1.275905,0.017575,1.749998,1.750001
111.291891,-45.577028,45.428472,-1.274168,0.017150,1.749998,1.750001
111.391883,-45.547706,45.332828,-1.272474,0.016724,1.749998,1.750001
111.491876,-45.518226,45.237239,-1.270822,0.016298,1.749998,1.750001
111.591869,-45.488592,45.141705,-1.269213,0.015872,1.749998,1.750001
111.691862,-45.458808,45.046223,-1.267647,0.015445,1.749998,1.750001
111.791854,-45.428878,44.950792,-1.266124,0.015019,1.749998,1.750001
111.891847,-45.398806,44.855412,-1.264643,0.014591,1.749998,1.750001
111.991840,-45.368597,44.760079,-1.263205,0.014164,1.749998,1.750001
112.091832,-45.338253,44.664794,-1.261810,0.013736,1.749998,1.750001
112.191825,-45.307781,44.569554,-1.260458,0.013308,1.749998,1.750001
112.291818,-45.277182,44.474358,-1.259149,0.012880,1.749998,1.750001
112.391811,-45.246462,44.379205,-1.257883,0.012451,1.749998,1.750001
112.491803,-45.215625,44.284093,-1.256659,0.012022,1.749998,1.750001
112.591796,-45.184674,44.189021,-1.255478,0.011594,1.749998,1.750001
112.691789,-45.153613,44.093987,-1.254341,0.011165,1.749998,1.750001
112.791781,-45.122448,43.998990,-1.253246,0.010736,1.749998,1.750001
112.891774,-45.091181,43.904028,-1.252194,0.010306,1.749998,1.750001
112.991767,-45.059816,43.809101,-1.251185,0.009877,1.749998,1.750001
113.091760,-45.028359,43.714206,-1.250219,0.009448,1.749998,1.750001
113.191752,-44.996812,43.619342,-1.249296,0.009018,1.749998,1.750001
113.291745,-44.965181,43.524508,-1.248416,0.008588,1.749998,1.750001
113.391738,-44.933468,43.429703,-1.247579,0.008159,1.749998,1.750001
113.491730,-44.901678,43.334924,-1.246785,0.007729,1.749998,1.750001
113.591723,-44.869816,43.240171,-1.246034,0.007299,1.749998,1.750001
113.691716,-44.837884,43.145441,-1.245326,0.006869,1.749998,1.750001
113.791709,-44.805888,43.050734,-1.244660,0.006439,1.749998,1.750001
113.891701,-44.773831,42.956049,-1.244038,0.006010,1.749998,1.750001
113.991694,-44.741717,42.861383,-1.243459,0.005580,1.749998,1.750001
114.091687,-44.709550,42.766735,-1.242923,0.005150,1.749998,1.750001
114.191679,-44.677335,42.672104,-1.242429,0.004720,1.749998,1.750001
114.291672,-44.645075,42.577489,-1.241979,0.004290,1.749998,1.750001
114.391665,-44.612775,42.482887,-1.241572,0.003860,1.749998,1.750001
114.491658,-44.580438,42.388298,-1.241207,0.003430,1.749998,1.750001
114.591650,-44.548069,42.293720,-1.240886,0.003000,1.749998,1.750001
114.691643,-44.515671,42.199152,-1.240608,0.002570,1.749998,1.750001
114.791636,-44.483249,42.104592,-1.240372,0.002139,1.749998,1.750001
114.891628,-44.450805,42.010032,-1.240168,0.001990,1.750001,1.749999
114.991621,-44.418340,41.915477,-1.239974,0.001880,1.750001,1.749999
115.091614,-44.385859,41.820929,-1.239792,0.001769,1.750001,1.749999
115.191607,-44.353360,41.726386,-1.239620,0.001659,1.750001,1.749999
115.291599,-44.320845,41.631847,-1.239460,0.001548,1.750001,1.749999
115.391592,-44.288316,41.537314,-1.239311,0.001438,1.750001,1.749999
115.491585,-44.255773,41.442784,-1.239173,0.001328,1.750001,1.749999
115.591577,-44.223217,41.348258,-1.239045,0.001217,1.750001,1.749999
115.691570,-44.190649,41.253736,-1.238929,0.001107,1.750001,1.749999
115.791563,-44.158071,41.159216,-1.238824,0.000996,1.750001,1.749999
115.891556,-44.125483,41.064699,-1.238730,0.000886,1.750001,1.749999
115.991548,-44.092887,40.970184,-1.238647,0.000775,1.750001,1.749999
116.091541,-44.060282,40.875671,-1.238575,0.000665,1.750001,1.749999
116.191534,-44.027672,40.781158,-1.238514,0.000554,1.750001,1.749999
116.291526,-43.995055,40.686647,-1.238464,0.000444,1.750001,1.749999
116.391519,-43.962434,40.592136,-1.238425,0.000333,1.750001,1.749999
116.491512,-43.929810,40.497625,-1.238397,0.000223,1.750001,1.749999
116.591505,-43.897182,40.403113,-1.238381,0.000113,1.750001,1.749999
116.691497,-43.864554,40.308601,-1.238375,0.000002,1.750001,1.749999
116.791490,-43.831925,40.214087,-1.238380,-0.000108,1.750001,1.749999
116.891483,-43.799296,40.119572,-1.238397,-0.000219,1.750001,1.749999
116.991475,-43.766670,40.025054,-1.238424,-0.000329,1.750001,1.749999
117.091468,-43.734045,39.930534,-1.238462,-0.000439,1.750001,1.749999
117.191461,-43.701425,39.836011,-1.238512,-0.000550,1.750001,1.749999
117.291454,-43.668808,39.741485,-1.238572,-0.000660,1.750001,1.749999
117.391446,-43.636198,39.646954,-1.238644,-0.000770,1.750001,1.749999
117.491439,-43.603594,39.552420,-1.238726,-0.000881,1.750001,1.749999
117.591432,-43.570998,39.457880,-1.238820,-0.000991,1.750001,1.749999
117.691424,-43.538411,39.363336,-1.238925,-0.001101,1.750001,1.749999
