cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-1.529699635679023,8.969971250279029,0.0,0.0,0.0,0.0,0,1
blue,-1.576301265325817,12.735828585011019,0.0,0.0,0.0,0.0,0,1
blue,-1.4622502755077347,16.44472970424291,0.0,0.0,0.0,0.0,0,1
blue,-1.3309964065931237,20.106053967157607,0.0,0.0,0.0,0.0,0,1
blue,-1.213758508925616,23.762744731960954,0.0,0.0,0.0,0.0,0,1
blue,-1.1303860208909267,27.416436476013498,0.0,0.0,0.0,0.0,0,1
blue,-1.1007504726964086,31.048561051532158,0.0,0.0,0.0,0.0,0,1
blue,-1.1497657483679793,34.63814269991858,0.0,0.0,0.0,0.0,0,1
blue,-1.3209197058170814,38.22785471189797,0.0,0.0,0.0,0.0,0,1
blue,-1.696837361134908,41.71118597687324,0.0,0.0,0.0,0.0,0,1
blue,-2.5116792951528604,44.94075319057115,0.0,0.0,0.0,0.0,0,1
blue,-3.801706297855165,48.16849659951645,0.0,0.0,0.0,0.0,0,1
blue,-5.420174062986701,51.01957711075008,0.0,0.0,0.0,0.0,0,1
blue,-7.652846792523752,53.21748906519799,0.0,0.0,0.0,0.0,0,1
blue,-10.390451076780579,55.06733842929253,0.0,0.0,0.0,0.0,0,1
blue,-13.29863533682923,55.888077499803096,0.0,0.0,0.0,0.0,0,1
blue,-16.597598028613728,55.875787106319464,0.0,0.0,0.0,0.0,0,1
blue,-19.91099241585945,55.30898690062681,0.0,0.0,0.0,0.0,0,1
blue,-23.291816262883035,54.298242299077636,0.0,0.0,0.0,0.0,0,1
blue,-26.703782537712204,53.11171052166903,0.0,0.0,0.0,0.0,0,1
blue,-30.16710518883264,51.8740559534729,0.0,0.0,0.0,0.0,0,1
blue,-33.75808556333567,50.74767305795934,0.0,0.0,0.0,0.0,0,1
blue,-37.38177410134301,49.88944469590905,0.0,0.0,0.0,0.0,0,1
blue,-40.55738192031117,48.9595422151326,0.0,0.0,0.0,0.0,0,1
blue,-42.83275178640688,47.27696192946822,0.0,0.0,0.0,0.0,0,1
blue,-44.63306559300156,44.496898713010616,0.0,0.0,0.0,0.0,0,1
blue,-46.47057571630777,41.39644107372584,0.0,0.0,0.0,0.0,0,1
blue,-47.337277197995505,38.61745430568988,0.0,0.0,0.0,0.0,0,1
blue,-46.77960173316797,35.65081609550643,0.0,0.0,0.0,0.0,0,1
blue,-46.10214077314507,31.56795235731589,0.0,0.0,0.0,0.0,0,1
blue,-47.250492183021905,27.370099538407658,0.0,0.0,0.0,0.0,0,1
blue,-49.18912502960846,23.984177011750923,0.0,0.0,0.0,0.0,0,1
blue,-51.43987552551328,20.90519203330068,0.0,0.0,0.0,0.0,0,1
blue,-54.28022637898419,17.982876970870485,0.0,0.0,0.0,0.0,0,1
blue,-57.52194337006132,15.946835014258081,0.0,0.0,0.0,0.0,0,1
blue,-59.90842466476344,14.10634495267393,0.0,0.0,0.0,0.0,0,1
blue,-60.989841404020765,11.476331413340606,0.0,0.0,0.0,0.0,0,1
blue,-61.380578276924076,8.226256004710528,0.0,0.0,0.0,0.0,0,1
blue,-61.0683719430871,5.037197408221525,0.0,0.0,0.0,0.0,0,1
blue,-59.83588072325651,2.2061736195412003,0.0,0.0,0.0,0.0,0,1
blue,-57.84573286965299,-0.424384263733128,0.0,0.0,0.0,0.0,0,1
blue,-55.46619641501663,-2.4337655214227665,0.0,0.0,0.0,0.0,0,1
blue,-52.74876822272594,-3.2094452626310734,0.0,0.0,0.0,0.0,0,1
blue,-49.84898928574576,-2.84189366529544,0.0,0.0,0.0,0.0,0,1
blue,-46.52109026019489,-1.3994612426785495,0.0,0.0,0.0,0.0,0,1
blue,-42.59632391329656,-0.4821290492896995,0.0,0.0,0.0,0.0,0,1
blue,-38.455349779232805,-0.4022593571489171,0.0,0.0,0.0,0.0,0,1
blue,-34.47152690437616,-2.7366004971317213,0.0,0.0,0.0,0.0,0,1
blue,-31.843106651527368,-6.158785344314086,0.0,0.0,0.0,0.0,0,1
blue,-31.34233603332302,-10.50530977787789,0.0,0.0,0.0,0.0,0,1
blue,-31.383979366092664,-14.051549573394079,0.0,0.0,0.0,0.0,0,1
blue,-31.205582818993275,-17.910052318245086,0.0,0.0,0.0,0.0,0,1
blue,-32.16120223915938,-21.845183762998868,0.0,0.0,0.0,0.0,0,1
blue,-34.49321974759256,-25.506723187424566,0.0,0.0,0.0,0.0,0,1
blue,-37.0735435026156,-28.167720083140594,0.0,0.0,0.0,0.0,0,1
blue,-39.3796286409247,-30.75607102254675,0.0,0.0,0.0,0.0,0,1
blue,-41.099867820843166,-33.49598535924743,0.0,0.0,0.0,0.0,0,1
blue,-41.87636780363479,-36.39213322877452,0.0,0.0,0.0,0.0,0,1
blue,-41.52784503926984,-39.4179925582709,0.0,0.0,0.0,0.0,0,1
blue,-40.267165949806895,-42.332770886743404,0.0,0.0,0.0,0.0,0,1
blue,-38.28577941667154,-44.78234248579561,0.0,0.0,0.0,0.0,0,1
blue,-35.71114818798857,-46.598792440256254,0.0,0.0,0.0,0.0,0,1
blue,-32.76687168006143,-47.594717807881615,0.0,0.0,0.0,0.0,0,1
blue,-29.85568374166709,-47.5364686728915,0.0,0.0,0.0,0.0,0,1
blue,-27.741233090666856,-46.29026737324812,0.0,0.0,0.0,0.0,0,1
blue,-26.43349817459431,-43.58697651155348,0.0,0.0,0.0,0.0,0,1
blue,-25.40643332877695,-40.133356501444446,0.0,0.0,0.0,0.0,0,1
blue,-24.011968863155378,-36.43789908163253,0.0,0.0,0.0,0.0,0,1
blue,-21.43466578550964,-33.00211585662337,0.0,0.0,0.0,0.0,0,1
blue,-17.534007351539174,-30.98193468948613,0.0,0.0,0.0,0.0,0,1
blue,-13.02663756798725,-30.79312089990596,0.0,0.0,0.0,0.0,0,1
blue,-9.083206556094462,-33.19722798980115,0.0,0.0,0.0,0.0,0,1
blue,-6.857712305479163,-36.57314870888065,0.0,0.0,0.0,0.0,0,1
blue,-5.118053565384188,-39.51833741639255,0.0,0.0,0.0,0.0,0,1
blue,-3.165839836610684,-41.113048768489115,0.0,0.0,0.0,0.0,0,1
blue,-0.1651052732502447,-41.57986119555278,0.0,0.0,0.0,0.0,0,1
blue,2.3870157484126198,-40.8149503494848,0.0,0.0,0.0,0.0,0,1
blue,4.421406191491149,-38.71070438139865,0.0,0.0,0.0,0.0,0,1
blue,5.405513014275082,-36.07548446067531,0.0,0.0,0.0,0.0,0,1
blue,5.536225849359138,-32.747960648308634,0.0,0.0,0.0,0.0,0,1
blue,5.241103726087794,-29.254150432236237,0.0,0.0,0.0,0.0,0,1
blue,4.719186764622879,-25.88027139447095,0.0,0.0,0.0,0.0,0,1
blue,3.5744870334336527,-22.71318326196076,0.0,0.0,0.0,0.0,0,1
blue,2.062213256497877,-19.456370461824488,0.0,0.0,0.0,0.0,0,1
blue,0.49261403663793213,-16.09990663243692,0.0,0.0,0.0,0.0,0,1
blue,-0.9164417553137796,-12.538767572264206,0.0,0.0,0.0,0.0,0,1
blue,-1.8038663060938627,-8.67792389810458,0.0,0.0,0.0,0.0,0,1
blue,-2.066194633258836,-4.797457800883032,0.0,0.0,0.0,0.0,0,1
blue,-1.8546340114554873,-1.0127941910624532,0.0,0.0,0.0,0.0,0,1
blue,-1.5510750519730612,2.5780398077509705,0.0,0.0,0.0,0.0,0,1
yellow,1.9525354431723132,9.322123926450324,0.0,0.0,0.0,0.0,1,0
yellow,1.922826396897734,12.657861028761909,0.0,0.0,0.0,0.0,1,0
yellow,2.0355567885198704,16.32081484281649,0.0,0.0,0.0,0.0,1,0
yellow,2.1668661502701774,19.983735369109954,0.0,0.0,0.0,0.0,1,0
yellow,2.284844066851177,23.663790937651424,0.0,0.0,0.0,0.0,1,0
yellow,2.3691378813340114,27.358803625673403,0.0,0.0,0.0,0.0,1,0
yellow,2.3992511569282158,31.053203712448596,0.0,0.0,0.0,0.0,1,0
yellow,2.348862720879174,34.735805336178586,0.0,0.0,0.0,0.0,1,0
yellow,2.1701700472491288,38.477463734956984,0.0,0.0,0.0,0.0,1,0
yellow,1.7612383507611251,42.251322341865716,0.0,0.0,0.0,0.0,1,0
yellow,0.7847766934958122,46.116934375052566,0.0,0.0,0.0,0.0,1,0
yellow,-0.6196501565686037,49.62606406624746,0.0,0.0,0.0,0.0,1,0
yellow,-2.604604136232366,53.09865449015653,0.0,0.0,0.0,0.0,1,0
yellow,-5.521118486454739,55.99340134438184,0.0,0.0,0.0,0.0,1,0
yellow,-8.84511859290583,58.20771527492358,0.0,0.0,0.0,0.0,1,0
yellow,-12.91931336631046,59.36747027771481,0.0,0.0,0.0,0.0,1,0
yellow,-16.892746645700626,59.363316011321636,0.0,0.0,0.0,0.0,1,0
yellow,-20.77706041085309,58.70014035200907,0.0,0.0,0.0,0.0,1,0
yellow,-24.391559068343284,57.62097926992322,0.0,0.0,0.0,0.0,1,0
yellow,-27.88519844111584,56.406288783166524,0.0,0.0,0.0,0.0,1,0
