x,y,right_width,left_width
-1.898955808645996779e-01,6.421227757231131150e+00,1.751407062298024231e+00,1.751407062298024231e+00
-6.011213922372304896e-02,7.714733172092563152e+00,1.751407062298024009e+00,1.751407062298024009e+00
-6.566851916810390044e-03,9.252293580792297689e+00,1.749998046550151010e+00,1.749998046550151010e+00
8.084183509491740249e-01,1.313992799747880724e+01,1.750000273479663582e+00,1.750000273479663360e+00
1.902945566583766013e+00,1.700905941199357585e+01,1.749999813582674646e+00,1.749999813582673980e+00
3.040403477165908974e+00,2.085118208735585554e+01,1.749998581061449787e+00,1.749998581061449343e+00
4.132950138432534004e+00,2.470651651993864206e+01,1.750003180562860639e+00,1.750003180562859750e+00
5.047185059621872583e+00,2.859590163434012311e+01,1.750004790474668726e+00,1.750004790474669836e+00
5.232132681664418250e+00,3.253273533683648111e+01,1.749996687478568402e+00,1.749996687478568180e+00
4.584279673349558770e+00,3.647213725703824849e+01,1.750002939480875153e+00,1.750002939480875597e+00
3.657274373979210402e+00,4.040086336965060809e+01,1.749997991743302173e+00,1.749997991743303727e+00
2.577220528894660578e+00,4.426107930095186305e+01,1.750001426510690683e+00,1.750001426510690683e+00
1.357723435949175883e+00,4.809621407680815963e+01,1.750000267611944604e+00,1.750000267611944604e+00
-1.078482828374704994e-02,5.185666257672202306e+01,1.750003659657595190e+00,1.750003659657595190e+00
-1.706011906336226014e+00,5.551832681224425414e+01,1.750002454306176292e+00,1.750002454306172739e+00
-4.728189317976081441e+00,5.788918043179440076e+01,1.750003775008694085e+00,1.750003775008700524e+00
-8.522383214412620589e+00,5.920216393547325140e+01,1.749996150972851217e+00,1.749996150972844999e+00
-1.241528085539575699e+01,6.010242188756475912e+01,1.749997525458639513e+00,1.749997525458632630e+00
-1.636669863325825247e+01,6.081060943285622500e+01,1.749995915788513212e+00,1.749995915788512546e+00
-2.032522650982039636e+01,6.142479891480493848e+01,1.750003335187300557e+00,1.750003335187293008e+00
-2.425535112553451000e+01,6.203898481930693976e+01,1.749995062465862006e+00,1.749995062465862672e+00
-2.821668056877499708e+01,6.264990249582996285e+01,1.749995642411873220e+00,1.749995642411880548e+00
-3.219668902390749565e+01,6.312972534383354173e+01,1.749995890163900114e+00,1.749995890163893009e+00
-3.619849646921026931e+01,6.331774713967700308e+01,1.749997688446042199e+00,1.749997688446042421e+00
-4.016095559614075228e+01,6.286247452088495891e+01,1.749995587681653753e+00,1.749995587681658638e+00
-4.359537327916922322e+01,6.092991795417582068e+01,1.750003624535237279e+00,1.750003624535232394e+00
-4.582278872613373721e+01,5.765039669234690933e+01,1.750000172063580717e+00,1.750000172063587378e+00
-4.674058425407640982e+01,5.377350465382522771e+01,1.749999054498563300e+00,1.749999054498571072e+00
-4.661691643737832180e+01,4.978935980900185143e+01,1.749999802085755007e+00,1.749999802085762113e+00
-4.572600928344797921e+01,4.592409556257798897e+01,1.749998422041381785e+00,1.749998422041383783e+00
-4.447931150635168507e+01,4.209311169172312361e+01,1.750000581524779664e+00,1.750000581524777443e+00
-4.317284951573827811e+01,3.829962014067271525e+01,1.749999372591373836e+00,1.749999372591371616e+00
-4.191769959728380002e+01,3.448523377707111592e+01,1.750000766584619338e+00,1.750000766584623779e+00
-4.084307310423933757e+01,3.063873857335465090e+01,1.749999128980684659e+00,1.749999128980676888e+00
-4.019914023162431249e+01,2.665610872912973406e+01,1.750000422634294006e+00,1.750000422634287123e+00
-4.096003334072201341e+01,2.282881501609119823e+01,1.749999797026162485e+00,1.749999797026162485e+00
-4.327250111936863419e+01,1.959044155674828147e+01,1.749999793427601480e+00,1.749999793427601480e+00
-4.667062701531941116e+01,1.755710309725967733e+01,1.750000740909297026e+00,1.750000740909298802e+00
-5.060975837516519249e+01,1.745308256012251391e+01,1.749999718616087163e+00,1.749999718616088940e+00
-5.417307323437613320e+01,1.915400744671386235e+01,1.750000371814665723e+00,1.750000371814669498e+00
-5.742096258207864423e+01,2.152843790933592061e+01,1.750002323263327275e+00,1.750002323263319948e+00
-6.044182383354939248e+01,2.416570592943221030e+01,1.750002075103248789e+00,1.750002075103243904e+00
