x,y,right_width,left_width
-2.740283249999957427e-01,5.571884770000004927e+00,1.726328125000002434e+00,1.726328125000002434e+00
-2.740283249999958537e-01,6.871884770000008302e+00,1.726328125000002434e+00,1.726328125000002434e+00
-2.202197250000017537e-01,9.205415039999998328e+00,1.680002025976484514e+00,1.680002025976484292e+00
-1.521655249999982473e-01,1.321032715000000302e+01,1.704998625107495780e+00,1.704998625107495780e+00
-7.153564499998898985e-02,1.721567383000000007e+01,1.749998376091477903e+00,1.749998376091477903e+00
-3.825439500000138437e-02,2.122070800499999876e+01,1.750000524477281161e+00,1.750000524477281383e+00
-6.064452999999592198e-02,2.522460449000000793e+01,1.749998197145524292e+00,1.749998197145524292e+00
-2.062060550000009984e-01,2.922362793000000991e+01,1.750000842515282651e+00,1.750000842515282651e+00
-5.655053699999880168e-01,3.320450684000000763e+01,1.749998321274444546e+00,1.749998321274443658e+00
-1.263964844999987402e+00,3.713084472500000288e+01,1.750001451615739168e+00,1.750001451615740944e+00
-2.477504884999992107e+00,4.093464355000000410e+01,1.749998514847704190e+00,1.749998514847704412e+00
-4.397636719999999499e+00,4.442729980500000408e+01,1.750001516105055055e+00,1.750001516105054611e+00
-7.093505859999990726e+00,4.741659667999999783e+01,1.749999521125554569e+00,1.749999521125549462e+00
-1.024074706999998696e+01,4.986017090000001417e+01,1.750001825525150156e+00,1.750001825525151045e+00
-1.383697753999999591e+01,5.154474121000000508e+01,1.750002472442253598e+00,1.750002472442254264e+00
-1.776549804999999793e+01,5.221509277500000934e+01,1.750004043896582040e+00,1.750004043896582040e+00
-2.174243652499999513e+01,5.187093261500000807e+01,1.750000402881582096e+00,1.750000402881581429e+00
-2.561473144999999363e+01,5.084761230500000551e+01,1.749997589588981661e+00,1.749997589588982549e+00
-2.951293456999999876e+01,5.000084472500001453e+01,1.750001127324013916e+00,1.750001127324013250e+00
-3.341615233999999646e+01,4.915952637000000180e+01,1.749997717472976166e+00,1.749997717472974390e+00
-3.717188965000000422e+01,4.778513184000000535e+01,1.749997384079285290e+00,1.749997384079291951e+00
-4.060518920500000206e+01,4.574544433500000196e+01,1.749996593965325475e+00,1.749996593965323921e+00
-4.307624023500000021e+01,4.269944824000000949e+01,1.749998160357393084e+00,1.749998160357389976e+00
-4.453469726500000547e+01,3.893634277500000707e+01,1.750000676005859734e+00,1.750000676005866618e+00
-4.549516113500000358e+01,3.506646972500000459e+01,1.750000128430395652e+00,1.750000128430395652e+00
-4.625527832000000217e+01,3.113018066500000813e+01,1.749999931808668308e+00,1.749999931808661202e+00
-4.697033203000000867e+01,2.717885253500001141e+01,1.749999468908519873e+00,1.749999468908527644e+00
-4.777882812499999687e+01,2.324783691000001085e+01,1.749998937617355921e+00,1.749998937617356587e+00
-4.886311035500000344e+01,1.940875000000000128e+01,1.750001278488625411e+00,1.750001278488632073e+00
-5.058688965000000337e+01,1.580825195500000291e+01,1.750000080391789892e+00,1.750000080391783008e+00
-5.305712402500000735e+01,1.269398437500000298e+01,1.750000282206498614e+00,1.750000282206497282e+00
-5.600085449000000892e+01,9.981132810000012512e+00,1.750000729724826121e+00,1.750000729724832338e+00
-5.904952637000000948e+01,7.390307615000004660e+00,1.750000088552948752e+00,1.750000088552952970e+00
-6.165574157500000041e+01,4.382368165000006144e+00,1.750000101031291111e+00,1.750000101031290445e+00
-6.289721191499999975e+01,6.188378950000094081e-01,1.749999866152341488e+00,1.749999866152334382e+00
-6.285916992500000333e+01,-3.375092774999995715e+00,1.750000159002601752e+00,1.750000159002594868e+00
-6.226032226500001343e+01,-7.329089354999993589e+00,1.750001119005585748e+00,1.750001119005592409e+00
-6.146573669500000392e+01,-1.125371093999999417e+01,1.750000785541020898e+00,1.750000785541020676e+00
-6.084252868500000488e+01,-1.520584228499999568e+01,1.750000841998910595e+00,1.750000841998910595e+00
-6.094901855500000920e+01,-1.918496337999999923e+01,1.749999847402613717e+00,1.749999847402613051e+00
-6.203477051000001552e+01,-2.303421142500000229e+01,1.749999325299837150e+00,1.749999325299842479e+00
-6.395041016000001122e+01,-2.652564452999999745e+01,1.750000584464664000e+00,1.750000584464664000e+00
-6.676721679500001017e+01,-2.934437743999999881e+01,1.749999989668077127e+00,1.749999989668077127e+00
-7.024780273499999339e+01,-3.130897460999999993e+01,1.749999961904058043e+00,1.749999961904049162e+00
-7.398290527500000735e+01,-3.272815917999999868e+01,1.749999579936068361e+00,1.749999579936065031e+00
-7.767168456999999648e+01,-3.425950683999999313e+01,1.750000168457824135e+00,1.750000168457824135e+00
-8.088217285500000742e+01,-3.660291503999999918e+01,1.750000049620436426e+00,1.750000049620436426e+00
-8.316991699000001859e+01,-3.986539062500000341e+01,1.749999920922890695e+00,1.749999920922900021e+00
-8.458885261499999331e+01,-4.360380370999999400e+01,1.750000399990847555e+00,1.750000399990847555e+00
-8.525055191000001287e+01,-4.754364746000000252e+01,1.750000104081483876e+00,1.750000104081497421e+00
-8.505001465000000849e+01,-5.153179687499999773e+01,1.749999878957482657e+00,1.749999878957482657e+00
-8.375267082500000981e+01,-5.529138641000000121e+01,1.750000633288903984e+00,1.750000633288907315e+00
-8.121841796500001465e+01,-5.836524902499999712e+01,1.749999896687645995e+00,1.749999896687636447e+00
-7.803378410500000939e+01,-6.077456054499999993e+01,1.750000122393143620e+00,1.750000122393143620e+00
-7.450498535500000230e+01,-6.264820800999999761e+01,1.750000386940253172e+00,1.750000386940253172e+00
-7.072360870500000374e+01,-6.393795409999999890e+01,1.749999765727566325e+00,1.749999765727562773e+00
-6.678679687499999318e+01,-6.461559081999999421e+01,1.750000056262377868e+00,1.750000056262362325e+00
-6.279197266000000610e+01,-6.467075195500001428e+01,1.750000074982925424e+00,1.750000074982939635e+00
-5.888669434000001246e+01,-6.386007324000000551e+01,1.750000821476091817e+00,1.750000821476098034e+00
-5.603125488500000984e+01,-6.117865722500000913e+01,1.749999457080290588e+00,1.749999457080294585e+00
-5.387033691500000998e+01,-5.782762207000000387e+01,1.750000505624753178e+00,1.750000505624743408e+00
-5.139240722499999947e+01,-5.465343262000000379e+01,1.750000339004571970e+00,1.750000339004576633e+00
-4.848728515999999900e+01,-5.198038589499999773e+01,1.750000883193788104e+00,1.750000883193782331e+00
-4.519822265999999900e+01,-4.974540054500000963e+01,1.750000022133859412e+00,1.750000022133865407e+00
-4.153919922000000042e+01,-4.784191902000000596e+01,1.750000467087907685e+00,1.750000467087914124e+00
-3.780073730499999840e+01,-4.655487793000000352e+01,1.749999704377917631e+00,1.749999704377919407e+00
-3.383818359500000383e+01,-4.605541503500000999e+01,1.750000182190960096e+00,1.750000182190967202e+00
-2.985931152500000252e+01,-4.641955566500000430e+01,1.749999736961900698e+00,1.749999736961900698e+00
-2.598610840000000621e+01,-4.740846672000000694e+01,1.749999642465579708e+00,1.749999642465587479e+00
-2.216372070500000291e+01,-4.856688972500000290e+01,1.749999885802721034e+00,1.749999885802721922e+00
-1.825068359500000170e+01,-4.929207504000000739e+01,1.749999733219963938e+00,1.749999733219963938e+00
-1.433500976500000235e+01,-4.891422363499999904e+01,1.750000126164191316e+00,1.750000126164183989e+00
-1.074952637000000344e+01,-4.728058594000000880e+01,1.750000178170645126e+00,1.750000178170651344e+00
-7.480439450000000434e+00,-4.472558105500000636e+01,1.750000342847989332e+00,1.750000342847995327e+00
-4.750234375000001563e+00,-4.182960937500000398e+01,1.750002013931058364e+00,1.750002013931057698e+00
-2.531220705000005289e+00,-3.853334961000000192e+01,1.749998391738035508e+00,1.749998391738031733e+00
-9.056054700000002455e-01,-3.488891601500000661e+01,1.750001043800025080e+00,1.750001043800027301e+00
1.063940449999994931e-01,-3.101450195000000321e+01,1.750000510504277518e+00,1.750000510504277518e+00
5.833789050000018905e-01,-2.706135986500000001e+01,1.750000389637826892e+00,1.750000389637827114e+00
7.084448200000027507e-01,-2.304241211000000078e+01,1.750002286242214433e+00,1.750002286242214433e+00
7.425805650000024682e-01,-1.912463866999999951e+01,1.707662249712379454e+00,1.707662249712379454e+00
6.749999999999999334e-01,-1.509147461000000057e+01,1.675138249053194084e+00,1.675138249053194084e+00
4.750000000000000888e-01,-1.108496581999999719e+01,1.675583440566412730e+00,1.675583440566412952e+00
3.249999999999997335e-01,-7.070278319999997230e+00,1.725997090636165909e+00,1.725997090636165909e+00
1.250000000000001110e-01,-3.060624999999994600e+00,1.726408048636199455e+00,1.726408048636199455e+00
-7.499999999999995559e-02,9.665527350000040485e-01,1.706876029951754692e+00,1.706876029951754692e+00
-2.750000000000002442e-01,4.874975590000000913e+00,1.727566386222057826e+00,1.727566386222057826e+00
