cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
big_orange,1.4522998000000067,5.571884770000005,0.0,0.0,0.0,0.0,1,0
big_orange,1.4522998000000065,6.871884770000009,0.0,0.0,0.0,0.0,1,0
big_orange,-2.000356449999998,5.571884770000005,0.0,0.0,0.0,0.0,0,1
big_orange,-2.000356449999998,6.871884770000008,0.0,0.0,0.0,0.0,0,1
blue,-1.9001220699999972,9.187114259999994,0.0,0.0,0.0,0.0,0,1
blue,-1.857138669999997,13.219648440000002,0.0,0.0,0.0,0.0,0,1
blue,-1.8214355499999886,17.23423828,0.0,0.0,0.0,0.0,0,1
blue,-1.788242190000004,21.227382810000005,0.0,0.0,0.0,0.0,0,1
blue,-1.8103662099999966,25.193496090000007,0.0,0.0,0.0,0.0,0,1
blue,-1.9531884799999928,29.12088867000001,0.0,0.0,0.0,0.0,0,1
blue,-2.301494139999987,32.983515630000014,0.0,0.0,0.0,0.0,0,1
blue,-2.966591799999987,36.726411129999995,0.0,0.0,0.0,0.0,0,1
blue,-4.0928027399999936,40.2613623,0.0,0.0,0.0,0.0,0,1
blue,-5.821503910000002,43.40989746000001,0.0,0.0,0.0,0.0,0,1
blue,-8.286840819999991,46.13657714999999,0.0,0.0,0.0,0.0,0,1
blue,-11.169580079999985,48.37700684000001,0.0,0.0,0.0,0.0,0,1
blue,-14.367202149999995,49.87699707,0.0,0.0,0.0,0.0,0,1
blue,-17.822597659999996,50.46602051000001,0.0,0.0,0.0,0.0,0,1
blue,-21.40874024,50.153041990000006,0.0,0.0,0.0,0.0,0,1
blue,-25.15995605999999,49.15773926,0.0,0.0,0.0,0.0,0,1
blue,-29.187949220000004,48.281284180000014,0.0,0.0,0.0,0.0,0,1
blue,-32.96018066,47.469975590000004,0.0,0.0,0.0,0.0,0,1
blue,-36.418188480000005,46.20575684000001,0.0,0.0,0.0,0.0,0,1
blue,-39.58893066,44.320766600000006,0.0,0.0,0.0,0.0,0,1
blue,-41.52315918,41.89295410000001,0.0,0.0,0.0,0.0,0,1
blue,-42.8571167,38.43812012000001,0.0,0.0,0.0,0.0,0,1
blue,-43.783203130000004,34.70356445000001,0.0,0.0,0.0,0.0,0,1
blue,-44.53326904000001,30.818437500000005,0.0,0.0,0.0,0.0,0,1
blue,-45.250073240000006,26.85759277000001,0.0,0.0,0.0,0.0,0,1
blue,-46.07438965,22.85111816000001,0.0,0.0,0.0,0.0,0,1
blue,-47.21154052999999,18.830112300000007,0.0,0.0,0.0,0.0,0,1
blue,-49.11359375000001,14.863847660000003,0.0,0.0,0.0,0.0,0,1
blue,-51.79148682,11.485405270000005,0.0,0.0,0.0,0.0,0,1
blue,-54.87352783,8.642612300000009,0.0,0.0,0.0,0.0,0,1
blue,-57.86935059,6.0981445300000034,0.0,0.0,0.0,0.0,0,1
blue,-60.16330566,3.4685107400000037,0.0,0.0,0.0,0.0,0,1
blue,-61.155134280000006,0.4525097700000098,0.0,0.0,0.0,0.0,0,1
blue,-61.117287600000004,-3.206728519999995,0.0,0.0,0.0,0.0,0,1
blue,-60.54159668000001,-6.999716799999992,0.0,0.0,0.0,0.0,0,1
blue,-59.749047850000004,-10.913884279999996,0.0,0.0,0.0,0.0,0,1
blue,-59.10047363,-15.039267579999995,0.0,0.0,0.0,0.0,0,1
blue,-59.22920654000001,-19.5086084,0.0,0.0,0.0,0.0,0,1
blue,-60.40708252000001,-23.676962890000002,0.0,0.0,0.0,0.0,0,1
blue,-62.544871830000005,-27.568220209999996,0.0,0.0,0.0,0.0,0,1
blue,-65.72083984000001,-30.747087399999998,0.0,0.0,0.0,0.0,0,1
blue,-69.55072143999999,-32.91414673,0.0,0.0,0.0,0.0,0,1
blue,-73.39173950000001,-34.37528442,0.0,0.0,0.0,0.0,0,1
blue,-76.86380066,-35.81186768,0.0,0.0,0.0,0.0,0,1
blue,-79.62883896000001,-37.82424805,0.0,0.0,0.0,0.0,0,1
blue,-81.60923431,-40.65707825,0.0,0.0,0.0,0.0,0,1
blue,-82.89925063999999,-44.059595949999995,0.0,0.0,0.0,0.0,0,1
blue,-83.50432037000002,-47.65843323,0.0,0.0,0.0,0.0,0,1
blue,-83.32747619999999,-51.22299133,0.0,0.0,0.0,0.0,0,1
blue,-82.21872910000002,-54.44905334,0.0,0.0,0.0,0.0,0,1
blue,-80.05515411000003,-57.05784058,0.0,0.0,0.0,0.0,0,1
blue,-77.0923877,-59.29934082,0.0,0.0,0.0,0.0,0,1
blue,-73.81019837000001,-61.04204102,0.0,0.0,0.0,0.0,0,1
blue,-70.29177368000002,-62.242071530000004,0.0,0.0,0.0,0.0,0,1
blue,-66.62629761000001,-62.872966309999995,0.0,0.0,0.0,0.0,0,1
blue,-62.90372559000001,-62.92432373,0.0,0.0,0.0,0.0,0,1
blue,-59.66051514000002,-62.2904541,0.0,0.0,0.0,0.0,0,1
blue,-57.46809815000001,-60.179667970000004,0.0,0.0,0.0,0.0,0,1
blue,-55.323732910000004,-56.852869870000006,0.0,0.0,0.0,0.0,0,1
blue,-52.67925537,-53.46746338,0.0,0.0,0.0,0.0,0,1
blue,-49.56745606,-50.603529359999996,0.0,0.0,0.0,0.0,0,1
blue,-46.08933594,-48.23927399000001,0.0,0.0,0.0,0.0,0,1
blue,-42.25303223,-46.244125520000004,0.0,0.0,0.0,0.0,0,1
blue,-38.20828613,-44.85299576,0.0,0.0,0.0,0.0,0,1
blue,-33.861650389999994,-44.30557220000001,0.0,0.0,0.0,0.0,0,1
blue,-29.535834960000006,-44.699712070000004,0.0,0.0,0.0,0.0,0,1
blue,-25.47785156000001,-45.733899990000005,0.0,0.0,0.0,0.0,0,1
blue,-21.7003418,-46.87935318,0.0,0.0,0.0,0.0,0,1
blue,-18.13291992,-47.54604217000001,0.0,0.0,0.0,0.0,0,1
blue,-14.800942380000002,-47.22739014,0.0,0.0,0.0,0.0,0,1
blue,-11.68932129,-45.8043454,0.0,0.0,0.0,0.0,0,1
blue,-8.659902340000004,-43.43276688,0.0,0.0,0.0,0.0,0,1
blue,-6.114282230000004,-40.73330627,0.0,0.0,0.0,0.0,0,1
blue,-4.061640630000002,-37.684639280000006,0.0,0.0,0.0,0.0,0,1
blue,-2.5586767600000004,-34.31458252,0.0,0.0,0.0,0.0,0,1
blue,-1.61488281,-30.698736570000005,0.0,0.0,0.0,0.0,0,1
blue,-1.1627880899999938,-26.945592039999998,0.0,0.0,0.0,0.0,0,1
blue,-1.0414843800000015,-23.026418460000006,0.0,0.0,0.0,0.0,0,1
blue,-0.9648388699999957,-19.09584228,0.0,0.0,0.0,0.0,0,1
blue,-1.0000000000000002,-15.11299561,0.0,0.0,0.0,0.0,0,1
blue,-1.2000000000000002,-11.129179689999994,0.0,0.0,0.0,0.0,0,1
blue,-1.4000000000000004,-7.128937989999998,0.0,0.0,0.0,0.0,0,1
blue,-1.6000000000000003,-3.1303369099999974,0.0,0.0,0.0,0.0,0,1
blue,-1.78,0.8865478500000067,0.0,0.0,0.0,0.0,0,1
blue,-2.0000000000000004,4.780844730000001,0.0,0.0,0.0,0.0,0,1
yellow,1.4596826199999937,9.223715820000004,0.0,0.0,0.0,0.0,1,0
yellow,1.5528076200000004,13.201005860000004,0.0,0.0,0.0,0.0,1,0
yellow,1.6783642600000106,17.197109380000004,0.0,0.0,0.0,0.0,1,0
yellow,1.7117334000000013,21.214033199999996,0.0,0.0,0.0,0.0,1,0
yellow,1.6890771500000048,25.25571289000001,0.0,0.0,0.0,0.0,1,0
yellow,1.5407763699999908,29.32636719000001,0.0,0.0,0.0,0.0,1,0
yellow,1.170483400000011,33.42549805000001,0.0,0.0,0.0,0.0,1,0
yellow,0.4386621100000121,37.53527832,0.0,0.0,0.0,0.0,1,0
yellow,-0.8622070299999909,41.607924800000006,0.0,0.0,0.0,0.0,1,0
yellow,-2.973769529999996,45.44470215,0.0,0.0,0.0,0.0,1,0
yellow,-5.90017089999999,48.696616210000016,0.0,0.0,0.0,0.0,1,0
yellow,-9.31191405999999,51.34333496000002,0.0,0.0,0.0,0.0,1,0
yellow,-13.306752929999998,53.21248535000001,0.0,0.0,0.0,0.0,1,0
yellow,-17.708398440000003,53.96416504000001,0.0,0.0,0.0,0.0,1,0
yellow,-22.076132809999994,53.58882324000001,0.0,0.0,0.0,0.0,1,0
yellow,-26.069506839999995,52.53748535000001,0.0,0.0,0.0,0.0,1,0
yellow,-29.837919919999997,51.720405270000015,0.0,0.0,0.0,0.0,1,0
yellow,-33.87212402,50.84907715,0.0,0.0,0.0,0.0,1,0
yellow,-37.925590820000004,49.36450684,0.0,0.0,0.0,0.0,1,0
yellow,-41.621447749999994,47.170122070000005,0.0,0.0,0.0,0.0,1,0
yellow,-44.62932129000001,43.50594238,0.0,0.0,0.0,0.0,1,0
yellow,-46.212277830000005,39.434565430000006,0.0,0.0,0.0,0.0,1,0
yellow,-47.20711914,35.429375,0.0,0.0,0.0,0.0,1,0
yellow,-47.977287600000004,31.44192383000001,0.0,0.0,0.0,0.0,1,0
yellow,-48.690590820000004,27.50011230000001,0.0,0.0,0.0,0.0,1,0
yellow,-49.48326659999999,23.64455566000001,0.0,0.0,0.0,0.0,1,0
yellow,-50.514680180000006,19.987387699999996,0.0,0.0,0.0,0.0,1,0
yellow,-52.06018555000001,16.752656250000005,0.0,0.0,0.0,0.0,1,0
yellow,-54.32276123000001,13.902563480000003,0.0,0.0,0.0,0.0,1,0
yellow,-57.12818115000001,11.319653320000015,0.0,0.0,0.0,0.0,1,0
yellow,-60.22970215000001,8.682470700000007,0.0,0.0,0.0,0.0,1,0
yellow,-63.14817749,5.2962255900000095,0.0,0.0,0.0,0.0,1,0
yellow,-64.63928955,0.785166020000009,0.0,0.0,0.0,0.0,1,0
yellow,-64.60105225000001,-3.5434570299999963,0.0,0.0,0.0,0.0,1,0
yellow,-63.97904785000001,-7.658461909999996,0.0,0.0,0.0,0.0,1,0
yellow,-63.182425540000004,-11.593537599999994,0.0,0.0,0.0,0.0,1,0
yellow,-62.58458374000001,-15.372416989999996,0.0,0.0,0.0,0.0,1,0
yellow,-62.66883057000001,-18.861318359999995,0.0,0.0,0.0,0.0,1,0
yellow,-63.662458500000014,-22.39145996,0.0,0.0,0.0,0.0,1,0
yellow,-65.35594849000002,-25.48306885,0.0,0.0,0.0,0.0,1,0
yellow,-67.81359375000001,-27.94166748,0.0,0.0,0.0,0.0,1,0
yellow,-70.94488403000001,-29.703802489999998,0.0,0.0,0.0,0.0,1,0
yellow,-74.57407105,-31.081033939999994,0.0,0.0,0.0,0.0,1,0
yellow,-78.47956848,-32.70714599999999,0.0,0.0,0.0,0.0,1,0
yellow,-82.13550675,-35.38158203,0.0,0.0,0.0,0.0,1,0
yellow,-84.73059967000002,-39.073703,0.0,0.0,0.0,0.0,1,0
yellow,-86.27845459,-43.14801146999999,0.0,0.0,0.0,0.0,1,0
yellow,-86.99678345,-47.42886169,0.0,0.0,0.0,0.0,1,0
yellow,-86.77255310000002,-51.840602419999996,0.0,0.0,0.0,0.0,1,0
yellow,-85.28661255,-56.133719479999996,0.0,0.0,0.0,0.0,1,0
yellow,-82.38168182000001,-59.67265747,0.0,0.0,0.0,0.0,1,0
yellow,-78.97518051000002,-62.24978027,0.0,0.0,0.0,0.0,1,0
yellow,-75.19977234,-64.254375,0.0,0.0,0.0,0.0,1,0
yellow,-71.15544373,-65.63383667,0.0,0.0,0.0,0.0,1,0
yellow,-66.94729613999999,-66.35821533000001,0.0,0.0,0.0,0.0,1,0
yellow,-62.680219730000005,-66.41718018000002,0.0,0.0,0.0,0.0,1,0
yellow,-58.11287354,-65.42969238,0.0,0.0,0.0,0.0,1,0
yellow,-54.59441162000001,-62.17764648000001,0.0,0.0,0.0,0.0,1,0
yellow,-52.41694092000001,-58.80237427000001,0.0,0.0,0.0,0.0,1,0
yellow,-50.10555908,-55.83940186,0.0,0.0,0.0,0.0,1,0
yellow,-47.40711426,-53.35724243000001,0.0,0.0,0.0,0.0,1,0
yellow,-44.30710938,-51.251527100000004,0.0,0.0,0.0,0.0,1,0
yellow,-40.82536621,-49.43971252,0.0,0.0,0.0,0.0,1,0
yellow,-37.393188480000006,-48.25676010000001,0.0,0.0,0.0,0.0,1,0
yellow,-33.81471680000001,-47.805257870000005,0.0,0.0,0.0,0.0,1,0
yellow,-30.18278809,-48.139399260000005,0.0,0.0,0.0,0.0,1,0
yellow,-26.49436524,-49.08303345,0.0,0.0,0.0,0.0,1,0
yellow,-22.627099610000002,-50.25442627,0.0,0.0,0.0,0.0,1,0
yellow,-18.368447270000004,-51.03810791000001,0.0,0.0,0.0,0.0,1,0
yellow,-13.86907715,-50.60105713000001,0.0,0.0,0.0,0.0,1,0
yellow,-9.809731450000006,-48.75682648000001,0.0,0.0,0.0,0.0,1,0
yellow,-6.300976559999998,-46.01839523,0.0,0.0,0.0,0.0,1,0
yellow,-3.386186519999998,-42.92591248000001,0.0,0.0,0.0,0.0,1,0
yellow,-1.000800780000008,-39.382059940000005,0.0,0.0,0.0,0.0,1,0
yellow,0.74746582,-35.463249510000004,0.0,0.0,0.0,0.0,1,0
yellow,1.8276708999999989,-31.33026733,0.0,0.0,0.0,0.0,1,0
yellow,2.3295458999999976,-27.17712769,0.0,0.0,0.0,0.0,1,0
yellow,2.458374020000007,-23.058405759999996,0.0,0.0,0.0,0.0,1,0
yellow,2.4500000000000006,-19.15343506,0.0,0.0,0.0,0.0,1,0
yellow,2.35,-15.06995361,0.0,0.0,0.0,0.0,1,0
yellow,2.1500000000000004,-11.040751950000002,0.0,0.0,0.0,0.0,1,0
yellow,2.05,-7.011618649999996,0.0,0.0,0.0,0.0,1,0
yellow,1.8500000000000005,-2.9909130899999923,0.0,0.0,0.0,0.0,1,0
yellow,1.6300000000000001,1.0465576200000015,0.0,0.0,0.0,0.0,1,0
yellow,1.45,4.9691064500000005,0.0,0.0,0.0,0.0,1,0
